,DSw,LTw,NCw
JBHF1,7.4196,0,2.8794
JBHF2,9.2604,0,0.3081
JBHF3,7.3329,0,0.702
JBHF4,7.1283,0,0.7437
JBHF5,6.0375,0,1.2084
JBHF6,5.9463,0,1.3689
JBHF7,6.1053,0,1.1466
JBHS1,2.6643,2.1945,1.4655
JBHS2,0,3.3255,3.3051
JBHS3,0.5112,2.2329,2.5632
JBHS4,0,2.3457,2.7564
JBHS5,0,1.8312,2.8737
JBHS6,0,1.7106,2.9463
JBHS7,0,1.6356,3.0234
JBLF1,0,0.0885,0.5814
JBLF2,0,0.0825,0.9048
JBLF3,0,0.0921,0.7263
JBLF4,0,0.0888,0.861
JBLF5,0,0.1011,0.8265
JBLF6,0,0.1149,0.9075
JBLF7,0,0.1107,0.9885
JBLS1,0,0.0828,0.6081
JBLS2,0,0.0309,0.9513
JBLS3,0,0.1044,0.7653
JBLS4,0,0.1026,0.8049
JBLS5,0,0.1386,0.8961
JBLS6,0,0.1212,0.9765
JBLS7,0,0.1131,1.0131
TAHF1,8.8908,0,0.1272
TAHF2,10.3131,0,0.4398
TAHF3,10.6833,0,-0.282
TAHF4,8.3493,0,0.6357
TAHF5,7.6491,0,1.3686
TAHF6,7.9821,0,1.3629
TAHF7,8.2851,0.1728,6.0384
TAHS1,3.9261,1.9866,1.4058
TAHS2,2.6196,2.913,3.0072
TAHS3,3.6582,2.5035,2.3751
TAHS4,1.7532,2.7093,2.6007
TAHS5,0.0018,3.7728,3.0975
TAHS6,0,3.5601,3.1728
TAHS7,0,3.54,3.5565
TALF1,0.5136,0.0288,0.4569
TALF2,0.1908,0.3168,0.9267
TALF3,0.7836,0.03,0.4053
TALF4,0.483,0.0981,0.6951
TALF5,0.4437,0.2199,0.7692
TALF6,0.6048,0.0948,0.8325
TALF7,0.4125,0.3681,0.8502
TALS1,0,0.1488,0.6345
TALS2,0,0.2592,1.0482
TALS3,0,0.2424,0.7662
TALS4,0.0951,0.1473,0.6768
TALS5,0,0.2055,0.8316
TALS6,0,0.192,0.9408
TALS7,0,0.2484,0.882
WCHF1,0.100519238,0.274432353,2.562147223
WCHF2,0.072983232,0.423047641,2.000009568
WCHF3,0.081952548,0.315673563,2.222989858
WCHF4,0.121005363,0.050938864,2.607055773
WCHF5,0.106341245,0.12211432,2.517294435
WCHF6,0.096028527,0.240245983,2.462725489
WCHF7,0.080471883,0.308209281,2.290318836
WCHS1,0.068973539,0.448644897,2.214881564
WCHS2,0.083277513,0,1.789722487
WCHS3,0.076320624,0,1.868179376
WCHS4,0.096532441,0,1.997467559
WCHS5,0.078875633,0,1.887624367
WCHS6,0.07667761,0,1.77682239
WCHS7,0.082136867,0,1.693363133
WCLF1,0,0.06485705,0.28419295
WCLF2,0,0.099795303,0.214204697
WCLF3,0,0.043318381,0.279381619
WCLF4,0,0.088918808,0.258581192
WCLF5,0,0.070681419,0.366568581
WCLF6,0,0.113451545,0.361498455
WCLF7,0.000825331,0.07123885,0.405685819
WCLS1,0,0.015204458,0.411745542
WCLS2,0.014280264,0,0.296369736
WCLS3,0.008716426,0,0.324533574
WCLS4,0.008907209,0,0.297942791
WCLS5,0.008719301,0,0.347330699
WCLS6,0.012844505,0,0.378455495
WCLS7,0.014519977,0,0.362380023
WIHF1,0.14456174,0,3.20118826
WIHF2,0.163878724,0,3.165621276
WIHF3,0.146610861,0,3.079889139
WIHF4,0.131930982,0,3.228069018
WIHF5,0.136765202,0,3.430234798
WIHF6,0.13192949,0.084218479,3.371852031
WIHF7,0.12279415,0.08496017,3.432245679
WIHS1,0.135791762,0,2.788458238
WIHS2,0.127106482,0,2.510893518
WIHS3,0.113700369,0,2.411549631
WIHS4,0.09491616,0,2.53533384
WIHS5,0.08266224,0,2.45383776
WIHS6,0.086961204,0,2.436788796
WIHS7,0.079384625,0,2.556115375
WILF1,0.001533808,0.112143996,0.208922196
WILF2,0.01041846,0,0.44283154
WILF3,0.006570379,0.064739445,0.377640176
WILF4,0.001639706,0.137139857,0.415770436
WILF5,0.003485654,0.197516959,0.477197388
WILF6,0.001501262,0.168959207,0.530939531
WILF7,0.002580871,0.214653507,0.567765622
WILS1,0.006587353,0.007053944,0.264508703
WILS2,0.00283308,0.004456204,0.310860715
WILS3,0.006294558,0,0.341405442
WILS4,0.004190934,0.001738346,0.37742072
WILS5,0.002667525,0.006996682,0.454135793
WILS6,0.000988428,0.026728285,0.415333287
WILS7,0,0.02729385,0.49960615
WMHF1,0.159419262,0,3.638580738
WMHF2,0.152838665,0,3.449161335
WMHF3,0.154817907,0,3.432182093
WMHF4,0.148268783,0,3.166731217
WMHF5,0.14995223,0,3.37654777
WMHF6,0.145397543,0.131514205,3.338614141
WMHF7,0.135284417,0,3.286215583
WMHS1,0.146846705,0,3.226653295
WMHS2,0.138184403,0,2.916315597
WMHS3,0.140105802,0,2.862394198
WMHS4,0.125563575,0,2.668936425
WMHS5,0.103127314,0,2.67553791
WMHS6,0.108412445,0,2.659837555
WMHS7,0.09350249,0,2.68099751
WMLF1,0.022425209,0,1.035424791
WMLF2,0.023144814,0.009934138,0.753371048
WMLF3,0.025265231,0,0.786159769
WMLF4,0.011702722,0.172579091,0.440518187
WMLF5,0.014841398,0.158093293,0.61277479
WMLF6,0.009389876,0.215263555,0.658796569
WMLF7,0.017758532,0.077946143,0.779595324
WMLS1,0.012855244,0,0.633569756
WMLS2,0.013098647,0,0.598151353
WMLS3,0.014385688,0,0.544014312
WMLS4,0.015185056,0,0.483414944
WMLS5,0.016523136,0,0.620926864
WMLS6,0.015783508,0.012017538,0.558398954
WMLS7,0.000799036,0.108192239,0.529258725
PCHF1,0.150338842,0,3.603661158
PCHF2,0.142854087,0,3.114145913
PCHF3,0.152409837,0,3.148590163
PCHF4,0.155509494,0,3.663490506
PCHF5,0.147736268,0,3.813013732
PCHF6,0.155954592,0,3.513545408
PCHF7,0.142234861,0,3.811015139
PCHS1,0.145983424,0,3.144266576
PCHS2,0.139111682,0,2.041888318
PCHS3,0.138762734,0,2.661237266
PCHS4,0.130991234,0,2.928258766
PCHS5,0.117232954,0,2.949517046
PCHS6,0.112370803,0,2.932629197
PCHS7,0.111381835,0,3.005618165
PCLF1,0.014700289,0.030870925,0.404278786
PCLF2,0.018274818,0.012973699,0.420601483
PCLF3,0.016911941,0.022353769,0.40788429
PCLF4,0.023692117,0,0.562157883
PCLF5,0.017104028,0.01455763,0.690388342
PCLF6,0.019591592,0.014541185,0.643617223
PCLF7,0.023828269,0.028311332,0.753760399
PCLS1,0.01119765,0,0.35020235
PCLS2,0.013376487,0,0.334323513
PCLS3,0.01197646,0,0.35927354
PCLS4,0.011933675,0,0.401966325
PCLS5,0.007686245,0.024914711,0.497649045
PCLS6,0.010467922,0,0.478332078
PCLS7,0.011607218,0,0.550392782
PIHF1,0.14840275,0,3.15659725
PIHF2,0.149192931,0,3.119807069
PIHF3,0.147545223,0,3.159954777
PIHF4,0.137645254,0,3.337854746
PIHF5,0.141155844,0,3.326344156
PIHF6,0.141882013,0,3.370117987
PIHF7,0.138129401,0.01857168,3.28204892
PIHS1,0.139188835,0,2.839811165
PIHS2,0.121146549,0,2.636353451
PIHS3,0.115907362,0,2.511592638
PIHS4,0.10720528,0,2.56879472
PIHS5,0.097341631,0,2.552158369
PIHS6,0.100345306,0,2.575154694
PIHS7,0.089911133,0,2.671588867
PILF1,0.006138148,0.063917387,0.314944465
PILF2,0.015986048,0.005108129,0.452805823
PILF3,0.005135309,0.144797342,0.292267349
PILF4,0.01165273,0.068716241,0.430381029
PILF5,0.014500514,0.080886266,0.46726322
PILF6,0.0013216,0.260120865,0.356407535
PILF7,0.009321111,0.176153715,0.441425174
PILS1,0.007451147,0.01909653,0.286552324
PILS2,0.005498714,0,0.319801286
PILS3,0.00474767,0.018935193,0.320517137
PILS4,0.00499797,0.016187206,0.334564824
PILS5,0.005092695,0.00932214,0.370535165
PILS6,0.005465169,0.019344466,0.388140365
PILS7,0.003253169,0.012417591,0.419579241
PMHF1,0.157298969,0,3.213201031
PMHF2,0.159243153,0,3.230756847
PMHF3,0.162143646,0,3.366606354
PMHF4,0.156747279,0,3.502502721
PMHF5,0.152060856,0,3.513439144
PMHF6,0.159322345,0,3.431677655
PMHF7,0.147862121,0,3.718387879
PMHS1,0.146038362,0,2.768461638
PMHS2,0.13872377,0,2.77877623
PMHS3,0.128300284,0,3.072699716
PMHS4,0.134451315,0,2.951048685
PMHS5,0.109497654,0,2.851502346
PMHS6,0.111816077,0,2.760683923
PMHS7,0.0976905,0,2.7193095
PMLF1,0.025525505,0.015614788,0.484809706
PMLF2,0.025291275,0.063561362,0.433047363
PMLF3,0.028221598,0,0.635710556
PMLF4,0.025526609,0.055586159,0.533137232
PMLF5,0.024910076,0.00196182,0.761128104
PMLF6,0.022516285,0.122455828,0.671177888
PMLF7,0.024379358,0,0.847870642
PMLS1,0.016779508,0,0.354370492
PMLS2,0.018801527,0,0.380348473
PMLS3,0.019453239,0,0.454346761
PMLS4,0.019688016,0,0.434311984
PMLS5,0.011493946,0,0.562256054
PMLS6,0.017947866,0,0.548852134
PMLS7,0.01148532,0,0.57276468
