,DSw ,LTw ,NCw ,DSs ,LTs ,NCs 
JBHF,8.867,0,0,0,0,0.16074132
JBHS,8.385,0,0,0,2.18,1.586246
JBLF,0.07702,0,0,0,0.24,2.12019265
JBLS,0.10532,0,0,0,0.15,1.342843
TAHF,8.78,0,0,0,0.22,4.435034112
TAHS,8.413,0,0,0,3.78,1.2590305
TALF,0.12164,0,0,0,0.46,0.958820136
TALS,0.12432,0,0,0,0.27,0.90198108
WCHF,200.1666667,0,0,0,0.386488274,1.794497207
WCHS,196.9666667,0,0,0,0,0.911948965
WCLF,2.79,0,0,0,0.088977324,0.463449695
WCLS,4.806666667,0,0,0,0,0.3630525
WIHF,206.8666667,0,0,0,0.107243524,3.127997468
WIHS,196.9666667,0,0,0,0,1.835759508
WILF,4.59,0,0,0,0.26952753,0.648147668
WILS,5.583333333,0,0,0,0.029152015,0.505865298
WMHF,200.1666667,0,0,0,0,2.939886665
WMHS,196.9666667,0,0,0,0,1.96647562
WMLF,2.79,0,0,0,0.097484124,0.903071046
WMLS,4.806666667,0,0,0,0.115856577,0.542223427
PCHF,202.5,0,0,0,0,3.551533417
PCHS,208.3333333,0,0,0,0,2.250545829
PCLF,6.703333333,0,0,0,0.035360854,0.854247202
PCLS,5.706666667,0,0,0,0,0.558119178
PIHF,206.8666667,0,0,0,0.023165199,2.916244809
PIHS,196.9666667,0,0,0,0,1.94966032
PILF,4.59,0,0,0,0.219723575,0.496773779
PILS,5.583333333,0,0,0,0.013280117,0.42134554
PMHF,200.1666667,0,0,0,0,3.440674426
PMHS,196.9666667,0,0,0,0,1.999163697
PMLF,2.79,0,0,0,0,0.980320364
PMLS,4.806666667,0,0,0,0,0.58662827
